,comment_date,user_reviews,recommended or not,spent_hours,hold_products
327,November 28,"['Ah, PUBG. This game has it?€?s ups and it?€?s downs, but I can say that overall it?€?s a big thumbs up. It?€?s got 3 very well made maps, a hilarious community, a variety of weapons (including he almighty pan), AMAZING gunplay, and it still has it?€?s charm, which is something Fortnite lost around season 3. PUBG right now is probably the best battle royale out right now. Sure, it has it?€?s bugs, it has paid skins, it has hackers, and it?€?s got some work to do, but the developers overall are pretty good. While the bugs do exist, honestly I?€?ve never noticed an abnormally large amount of bugs, exception of the vehicles which have hilariously bad physics. The paid skins are annoying, and I don?€?t like them, especially when you spend your BP on a loot crate and you need to buy a key, so you end up wasting your BP, but after all it?€?s only cosmetics, and as long as it?€?s not pay to win I can?€?t complain too much. Another point of interest is hackers, which are something this game is notorious for, but their anti cheat has gotten SO much better. I very rarely encounter hackers and I can say the Bluehole has done a great job at combatting hackers.', '', 'Now, there are some things you should know before you buy. This game has a very sweaty player base, because after Fortnite most casual players left. Personally, I got this game the other way around, because I got this game after Fortnite, but that?€?s beside the point. Anyways, because of the sweaty player base, this game takes a lot of practice and learning to get good at and after 209 hours I?€?m still only barely decent. Another thing is that this game isn?€?t an addictive game. Sometimes you go into a couple games and you?€?re destroying everyone, and you have to keep playing and it?€?s amazing. Other times you go into a couple games and you lose and want to stop playing. I go through phases with this game, but I always keep coming back and I have improved tons since I started. Finally, the last thing you should know is that this is a largely squad or duo based game. I mostly play solos, but when I play duos and squads with my friends it?€?s the most funny, most hilarious game you?€?ve ever played. Random duos or squads I don?€?t recommend, because of the high number of Chinese players, although the devs are working on better matchmaking at the moment, so hopefully it?€?s just a matter of time. They?€?ve tried a method of ping-based matchmaking, although it didn?€?t go exactly as planned and has caused some server issues for OCE players unfortunately.', '', 'Overall, PUBG is a great game, and the devs are much better than people make them out to be, so I definitely recommend it????.']",Recommended,209.8,19
328,November 28,"['Biggest piece of junk game I\'ve played in my entire life, a year after ""release"" and this game is still garbage, it\'s only getting worse, play something better for the love of god. They literally had BIG ui defects on the main dashboard like 3 weeks ago, this game is severly broken and only gets worse. They should honestly be sued in a mass lawsuit']",Not Recommended,263.4,8
329,November 28,"['You know, I really really REALLY want to like this game. It\'s a very successful battle-royale game, and it\'s a gamemode I\'ve been waiting a long time to really see be developed. However, even after waiting for the game to get better since I bought it, (about a year ago) the issues really haven\'t gotten better. I have a pretty good graphics card, the game stored on an SSD, and a half decent CPU. Even with all of this, I can\'t load into matches half of the time. The game could feel smoother with movements too. I sincerely hope that the ""Fix PUBG"" campaign is real thing, and not just some gag from the developers. I want to see this game get better. It can be a great game still. I just can\'t enjoy it until it\'s issues are fixed. If the only way to play the game successfully is to dive deep within the game\'s files, and change numerous settings on your computer + graphics card, then the game developers PROBABLY aren\'t doing something right.', '', ""Again, I really do want to like this game, but it's plagued by choppy movements, poor load times, poor matchmaking, and just several game mechanics that don't feel comfortable. This game isn't worth the money that you pay for at the moment.""]",Not Recommended,48,42
330,November 29,"['I really like this game but my game always stucks on loading screen. I can hear sound of footprints , Airplane and parachutes but screen is stuck on same place ???? Totally waste of Money']",Not Recommended,32.2,2
331,November 29,['???????????????????????????There are too many plug-ins in this game.'],Not Recommended,322.1,10
332,November 29,['They should add back the servers option... I have to play forcefully with non English speakers... No fun'],Not Recommended,19.5,1
333,November 28,['It has really good graphics(on my computer) and it has some good gameplay as well as being really smooth(on my computer)'],Recommended,2.5,1
334,November 28,['I love this game.meeting new ppl every day'],Recommended,83.3,1
335,November 28,['i have played this game and it is very good game'],Recommended,136.2,9
336,November 28,"[""I couldn't really reccomend this game to anyone you have to have a monster computer to run this game on at least medium settings. But I mean if u got a buddy with you and neither of you care about graphics and just wanna some fun I could reccomend this game. But try to play this game in burst when I first got the game I played it too much and I ended up getting burn't out on it.""]",Not Recommended,32.2,36
337,November 29,"[""Can't play, to buggy and to many cheaters. Not sure why there is such a small dev team. With the amount of purchases from this game they could have easily hired a good team to make this game well optimized and have an affective anticheat. I've given this game almost 2 years and it's come a long way, but it's still just as broken and even more of a cash grab from when it first started. ???????????? you Brendan Greene. You had the opportunity to make one of the most incredible games of all time, but instead you waisted it and now people will only remember this steaming pile of seahoarse???????????????as a sad pathetic buggy excuse for an fps.""]",Not Recommended,187.5,45
338,November 28,"['Biggest piece of junk game I\'ve played in my entire life, a year after ""release"" and this game is still garbage, it\'s only getting worse, play something better for the love of god. They literally had BIG ui defects on the main dashboard like 3 weeks ago, this game is severly broken and only gets worse. They should honestly be sued in a mass lawsuit']",Not Recommended,263.4,8
339,November 28,"['Ah, PUBG. This game has it?€?s ups and it?€?s downs, but I can say that overall it?€?s a big thumbs up. It?€?s got 3 very well made maps, a hilarious community, a variety of weapons (including he almighty pan), AMAZING gunplay, and it still has it?€?s charm, which is something Fortnite lost around season 3. PUBG right now is probably the best battle royale out right now. Sure, it has it?€?s bugs, it has paid skins, it has hackers, and it?€?s got some work to do, but the developers overall are pretty good. While the bugs do exist, honestly I?€?ve never noticed an abnormally large amount of bugs, exception of the vehicles which have hilariously bad physics. The paid skins are annoying, and I don?€?t like them, especially when you spend your BP on a loot crate and you need to buy a key, so you end up wasting your BP, but after all it?€?s only cosmetics, and as long as it?€?s not pay to win I can?€?t complain too much. Another point of interest is hackers, which are something this game is notorious for, but their anti cheat has gotten SO much better. I very rarely encounter hackers and I can say the Bluehole has done a great job at combatting hackers.', '', 'Now, there are some things you should know before you buy. This game has a very sweaty player base, because after Fortnite most casual players left. Personally, I got this game the other way around, because I got this game after Fortnite, but that?€?s beside the point. Anyways, because of the sweaty player base, this game takes a lot of practice and learning to get good at and after 209 hours I?€?m still only barely decent. Another thing is that this game isn?€?t an addictive game. Sometimes you go into a couple games and you?€?re destroying everyone, and you have to keep playing and it?€?s amazing. Other times you go into a couple games and you lose and want to stop playing. I go through phases with this game, but I always keep coming back and I have improved tons since I started. Finally, the last thing you should know is that this is a largely squad or duo based game. I mostly play solos, but when I play duos and squads with my friends it?€?s the most funny, most hilarious game you?€?ve ever played. Random duos or squads I don?€?t recommend, because of the high number of Chinese players, although the devs are working on better matchmaking at the moment, so hopefully it?€?s just a matter of time. They?€?ve tried a method of ping-based matchmaking, although it didn?€?t go exactly as planned and has caused some server issues for OCE players unfortunately.', '', 'Overall, PUBG is a great game, and the devs are much better than people make them out to be, so I definitely recommend it????.']",Recommended,209.8,19
340,November 30,['best game evah'],Recommended,35.3,17
341,November 30,['Nice Addictive but Little Hard To Play.Even Having 12Gb ram lags.But Other than that I Recommended this Game to play If Having a Gaming PC.'],Recommended,11.3,2
342,November 30,"['The game is full of bugs u take cover u die when u are behinde cover some how the bullets register after u already taken cover, the game is having problems loading people in plenty of squad games go missing 1-2 poeple. the shotig the weapon takes the entire field of view and thats not how a real weapon iron sights work but in the game u iron sigh with out optics and u are literal blinde, if the guy shoting at u fires more then once some of the bulltes register after u already change positions or wors when there is no freaking way he can see u but the bullets still hit. The game is not worth the money and the game is now just money grabig with all the clothes they have. THE GAME WAS BETTER IN THE BETA u see the bugs but now the game is fully realesed and the game has even more bugs and u just need to exploit to win']",Not Recommended,324.1,84
343,December 1,['I am GUD BOI'],Recommended,31.8,6
344,December 1,['THE GAME SHOULD BE OPTIMIZED (ROE is way better)'],Not Recommended,200.3,3
345,November 30,['BAFUS'],Recommended,43.9,50
346,December 1,['.'],Recommended,121.3,9
347,December 1,['Amazing. No need to say more...'],Recommended,2,37
348,December 1,"['SHOULD DO :', 'Buy this game when you have friends to play with ( very fun when playing with friends )', 'Buy this if you enjoy battle royale and you would like to ""TRYHARD ""', 'SHOULD not DO :', ""Don't buy skins ingame system because they banned trade most of items in the game"", ""You won't be an ????????????????????? if you do not use HAX"", '', 'The dev usually fix bugs ( I guess ~ ) so the game recenly got less BUGS (????????????????????? car physic )']",Recommended,12.1,93
349,December 1,"[""Game is fun with friends. Lots of laught and funny moments. I don't usually play FPS games or any shooting games. But Pubg has many aspect more than just shooting your enemies. If you like having fun and get adrenaline. Heart pounting. Recoment to try this game. :) Thinks aren't fun are those bluezone. No time for camping in one spot or you will die. But I guess that makes each match difference. There is a bit lagg for me (not newest graphiccard) but it doesn't cost game play. Only when move fast on map few second load.""]",Recommended,185.5,27
350,November 30,['nice'],Recommended,"1,235.20",9
351,November 30,['sick game'],Recommended,"1,251.40",17
352,November 28,['Needs a lot of help'],Not Recommended,4.3,121
353,November 29,"['Given plenty of time to fix issues, let the aussie servers die & game is still terrible after all this time, shame because its actually reallly fun.']",Not Recommended,847,38
354,November 29,"['I really like this game but my game always stucks on loading screen. I can hear sound of footprints , Airplane and parachutes but screen is stuck on same place ???? Totally waste of Money']",Not Recommended,32.2,2
355,November 29,['???????????????????????????There are too many plug-ins in this game.'],Not Recommended,322.1,10
356,November 30,"['You will like this game if...', '- You like to get killed by Asian try hards every twenty seconds.', '- You like going ""skrrt skrrt"" or ""pa pap""', '- You like your car blowing up because it got hit by a pebble.', '', 'You will hate this game if...', ""- You don't know what recoil is because your 6 and you play Fortnite."", '- You are interested in people of the opposite gender.', '- You are a failed abortion.']",Recommended,85.4,48
357,November 29,"[""I really don't know how this game has mixed reviews.I am really surprised that people still find good things about the game. The game is buggy as hell, it's barely playable. I didn't enjoy any of my 60 hours in this game and I will admit it 60 hours isn't a lot but when 40 hours of the playtime is just trying to make the game work its ????????????ing a lot. bluehole deserves everything that happened to them. I am not joking when I say this you are better off buying winrar""]",Not Recommended,59,68
358,November 28,"[""I couldn't really reccomend this game to anyone you have to have a monster computer to run this game on at least medium settings. But I mean if u got a buddy with you and neither of you care about graphics and just wanna some fun I could reccomend this game. But try to play this game in burst when I first got the game I played it too much and I ended up getting burn't out on it.""]",Not Recommended,32.2,36
359,November 29,"[""Can't play, to buggy and to many cheaters. Not sure why there is such a small dev team. With the amount of purchases from this game they could have easily hired a good team to make this game well optimized and have an affective anticheat. I've given this game almost 2 years and it's come a long way, but it's still just as broken and even more of a cash grab from when it first started. ???????????? you Brendan Greene. You had the opportunity to make one of the most incredible games of all time, but instead you waisted it and now people will only remember this steaming pile of seahoarse???????????????as a sad pathetic buggy excuse for an fps.""]",Not Recommended,187.5,45
360,November 29,['good game but sometime lag'],Recommended,195.4,40
361,November 30,['Pretty boring game'],Not Recommended,1.8,21
362,November 30,"['This is my first ever purchased game in steam and im really impressed.', 'the Graphics is so good.', 'and the game is a little bit hard hehe.']",Recommended,9.8,1
363,November 30,"['Fix the damn netcode already, Tired of entering a house and getting knocked after I cross a door, every GODDAMN TIME.']",Not Recommended,321.6,121
364,November 30,"['love it, im adicted']",Recommended,121.6,2
365,November 30,"['Product received for free', '', 'one of the best games in the world']",Recommended,51.3,10
366,November 29,['So many cheat on this game they refuse to ban the M????????????ERS'],Not Recommended,640.4,3
367,November 30,"['This game was better in its early days. All its become is a game with more issues than it had a year ago and a money grab. I almost thought it was made by EA. On a side note, Every second match, the game crashes my pc. Highly annoying since I spent more money than I probably should have when it came to keys and other things. ALso, I might add that I have all the reccomended hardware to run this game. ""Fix PubG"" has just been a grab to keep players hopes up while the game itself is still trash. And I genuiniely loved the game before it started being a POS.']",Not Recommended,695.2,16
368,November 30,"['This PUBG game is not worth the price tag.', '', '- Bugs all the time.', '- Lag all the time.', '-Texture problems.', '-Low grapics still lag.', '- Hackers everywhere.', '- No good updates for game.', '', 'Only fun to play with friends.']",Not Recommended,71.8,64
369,November 30,"['The game is full of bugs u take cover u die when u are behinde cover some how the bullets register after u already taken cover, the game is having problems loading people in plenty of squad games go missing 1-2 poeple. the shotig the weapon takes the entire field of view and thats not how a real weapon iron sights work but in the game u iron sigh with out optics and u are literal blinde, if the guy shoting at u fires more then once some of the bulltes register after u already change positions or wors when there is no freaking way he can see u but the bullets still hit. The game is not worth the money and the game is now just money grabig with all the clothes they have. THE GAME WAS BETTER IN THE BETA u see the bugs but now the game is fully realesed and the game has even more bugs and u just need to exploit to win']",Not Recommended,324.1,84
370,November 29,"[""Can't play, to buggy and to many cheaters. Not sure why there is such a small dev team. With the amount of purchases from this game they could have easily hired a good team to make this game well optimized and have an affective anticheat. I've given this game almost 2 years and it's come a long way, but it's still just as broken and even more of a cash grab from when it first started. ???????????? you Brendan Greene. You had the opportunity to make one of the most incredible games of all time, but instead you waisted it and now people will only remember this steaming pile of seahoarse???????????????as a sad pathetic buggy excuse for an fps.""]",Not Recommended,187.5,45
371,November 29,['They should add back the servers option... I have to play forcefully with non English speakers... No fun'],Not Recommended,19.5,1
372,November 30,"['I am unable to play game', 'error1: ""blocked loanding c\\windows\\system32\\dxgi.dll""', 'error2: ""cannot find dxgi.dll please reinstall it"" while loading the game']",Recommended,1.9,1
373,November 30,"['Crashes whenever i try join a game, completely unplayable', 'decent']",Not Recommended,180.8,164
374,December 1,"['UMMMMMMM so i cant even remember the last time i played but im somehow -18,755 BP. someone explain!!!!!!']",Recommended,21.8,13
375,November 30,['Nice Addictive but Little Hard To Play.Even Having 12Gb ram lags.But Other than that I Recommended this Game to play If Having a Gaming PC.'],Recommended,11.3,2
376,November 30,['i think tvoje mama ma maly pero good game'],Recommended,28.6,27
377,November 30,"['Product received for free', '', 'This game is nice but boring']",Recommended,4.6,4
378,November 29,['It stinks'],Not Recommended,69.9,93
379,December 1,"['SHOULD DO :', 'Buy this game when you have friends to play with ( very fun when playing with friends )', 'Buy this if you enjoy battle royale and you would like to ""TRYHARD ""', 'SHOULD not DO :', ""Don't buy skins ingame system because they banned trade most of items in the game"", ""You won't be an ????????????????????? if you do not use HAX"", '', 'The dev usually fix bugs ( I guess ~ ) so the game recenly got less BUGS (????????????????????? car physic )']",Recommended,12.1,93
380,November 29,['Big Yikes'],Recommended,15.6,16
381,November 29,"['Very nice game :)', 'Recommended!']",Recommended,92.4,60
382,November 29,"[""Don't let all the hate deter you from playing/buying this game. It's a great game to play with friends. I've had so many laughs messing around playing this. It has a lot of flaws, but it's a fun game.""]",Recommended,254.9,12
383,December 1,['game taek'],Not Recommended,452.5,21
384,December 1,"['in serious need of f u c k i n g optimisation and better servers, but if they fix that, then it is a great game !']",Not Recommended,63.4,63
385,December 1,['.'],Recommended,121.3,9
386,December 1,['Amazing. No need to say more...'],Recommended,2,37
387,December 1,['THE GAME SHOULD BE OPTIMIZED (ROE is way better)'],Not Recommended,200.3,3
388,November 29,"[""Player Unknown's: BuggyLaggyHackfilled Grounds."", 'After playing Ring Of Elysium it really hit me how bad this game is. It is sluggish, slow, buggy, and full of hackers! RoE came out just a month or 2 ago and was extremily better than PUBG on its FIRST DAY and the best part.... ITS FREE.', '', 'This game is a waste of money and a waste of time.', '', '???????????? you PUBG.']",Not Recommended,278.6,73
389,December 1,"[""Game is fun with friends. Lots of laught and funny moments. I don't usually play FPS games or any shooting games. But Pubg has many aspect more than just shooting your enemies. If you like having fun and get adrenaline. Heart pounting. Recoment to try this game. :) Thinks aren't fun are those bluezone. No time for camping in one spot or you will die. But I guess that makes each match difference. There is a bit lagg for me (not newest graphiccard) but it doesn't cost game play. Only when move fast on map few second load.""]",Recommended,185.5,27
390,December 1,"[""good one , but i don't have the best pc to run it =]""]",Recommended,46.4,62
391,December 1,['(Y)'],Recommended,129.5,27
392,November 30,"['its???????????????runs like??????????????????just play Fortnite if u want battle royal, but like dont play fortnite either']",Not Recommended,14.8,53
393,November 30,['This game is like bumping your shin against a coffee table repeatedly in an attempt to get good at bumping your shin against coffee tables.'],Recommended,164.1,10
394,December 1,"['Launch the game after a long break hoping some of the bugs were fixed.', '', 'Infinite loading.']",Not Recommended,206.7,258
395,December 1,"['Ui main menu wont load and when it does i play one game and its stuck on loading again, please fix and i will update review']",Not Recommended,10,35
396,December 1,"[""Don't buy this game. Horrible servers. no region select and unplayable in australia""]",Not Recommended,277.7,54
397,December 1,"['Alot bugs and probelms that come as the game features. Get ready for a roller coaster of emotion when playing this game. Ruin your day simulator, this is it.']",Not Recommended,405,36
398,December 1,['Nice game'],Recommended,295.7,0
399,December 1,"[""I mean I could talk about all the other stuff every other review talks about but the one thing that really????????????????????????me off enough to come write this negative review wasn't even a bug or any lack of optimisation; its something far more petty but that I really cant understand. why the hell are crates allowed to land in parts of the water behind the freaking invisible wall in the sea? bc 1) I had no idea there was such a wall for starters (granted, its likely bc its a big map and there's nothing at high sea, but still) 2) as the name implies it's invisible so the only way to see where it is it's to hit against it and be unable to move forward 3) and lastly I just watched a ton of time going after a crate that in no way was shown to be outside of my reach by the game itself. the crate landed inside the circle, normally, no problem, I went to loot it and look at my surprise when as I'm about to reach it I hit a freaking invisible wall I had no idea existed or at least allowed crates to fall on the other side of it. as I said this is a really petty complaint in comparison the other reviews, many that I agree with. but i've never felt the need to write b4 bc I expected the game would improve. but when this happens, I feel like the people behind the game couldnt even think of something as simple as somehow telling the player a crate is offside or just not letting the damn thing fall outside boundary. feels like there's a lack of care tbqh.""]",Not Recommended,424.9,273
400,December 1,['There?€?s nothing like good old PUBG.'],Recommended,162.4,27
401,December 1,['Very nice.'],Recommended,26.3,24
402,December 1,['Takes to long for Brendan Green to listen to the players on what they want.'],Not Recommended,315.5,139
403,December 1,['this game is only getting worst! in the start the servers where bad and you nedded a GOD pc to play it. and now the mechanics are just??????????????? but if u are with some friends and are tired off fortnite you can try it out.'],Not Recommended,436.6,26
404,November 30,"['Crashes whenever i try join a game, completely unplayable', 'decent']",Not Recommended,180.8,164
405,November 30,"['One of the best games ever, great when you can play it with friends. Recommended, if you want realistic shooter battle royale for long days and nights.']",Recommended,581,27
406,November 30,['best game evah'],Recommended,35.3,17
407,November 30,"['Very good idea for a game but it is not worth it, it has many bugs and it is a slow game compared to other FPS games.', 'You can have good experience playing anyway.']",Not Recommended,144,2
408,November 30,"[""most fun I've ever had online""]",Recommended,"1,490.20",264
409,December 1,"[""Pretty terrible gameplay. The game is fully of gambling mechanisms to get the player hooked, and the gun mechanics are inconsistent and unpredictable. Somewhere in there lies a good game, a few fun moments from time to time, obviously a lot of work went into the title- but overall it's not worth the amount of stress I have trying to get a typical performance out of it. I have a monster computer and it still manages to studder and rubberband on a good day. I hope someone does a better job of this concept.""]",Not Recommended,959.6,12
410,December 2,['git gud'],Recommended,708.8,98
411,December 2,"[""Trash company don't even try to deal with the desync.""]",Not Recommended,721.7,68
412,December 2,['Game is trash and runs like trash.'],Not Recommended,90.7,52
413,December 1,"['Great game, but unfortunately the game often lag and disconnected at random times. And it appears happen to many players too.', '', 'Edit: I kinda tinker with firewall settings and it quite help a bit']",Recommended,7.6,1
414,December 2,['best game ever'],Recommended,84.2,7
415,December 2,['i like it buy it now'],Recommended,173.6,12
416,December 2,['i love this game.........................................'],Recommended,50.9,2
417,December 2,['Lulla Game..Painchod tapa e dendi'],Not Recommended,"1,871.60",16
418,December 2,"[""This game has been out so long, still can't even fix the server lag desync problems, frame rate is bad still and bugs exist from last year still in the game. This whole game still feels like EA game, they should never release this game.""]",Not Recommended,650.8,97
419,December 2,['???????????? this Goddamn game! I clocked in 600 plus hours on this??????????????????and never once used any cheat nor did anything to disrupt the gaming experience for other players and yet I got perma banned! dafuq! bluehole you can shove this game deep in your???????????????and keep it! ???????????? yall!'],Not Recommended,664.9,27
420,December 1,"['This game IS SO BROKEN!!!! It has been broken in miscellaneous ways since it came out, however, I still enjoy it and keep playing the game... UNTIL NOW!!! Now a days I only get to play a little bit every couple weeks, and tonight when I got on to play I got BANNED in the first game I played while I was looting. Banned(24hour) due to ""Unusual Gameplay Patterns."" I guess looting and playing solo is a bannable offense.', '', ""Sooo...... An incredibly fun but broken game, I used to find this accepatable until the game became SO BROKE it prevented me from playing entirely.... GARBAGE, UNACCEPTABLE, RECOMMEND NO ONE BUY THIS GAME, and I've never said that about a game. I Honestly don't think I have ever even posted a comment for a game until now."", '', 'DONT BUY OR PLAY THIS GAME.']",Not Recommended,752.7,119
421,December 1,"['Great game, but unfortunately the game often lag and disconnected at random times. And it appears happen to many players too.', '', 'Edit: I kinda tinker with firewall settings and it quite help a bit']",Recommended,7.6,1
422,December 3,"['Product received for free', '', 'Gwud Gwame 7.5/10']",Recommended,9.7,34
423,December 3,"[""I only have 88 hours into this game and have already lost count of the chicken dinners i've achieved. (I only play on Sanhok map in third person mode, but have acquired 20+ chicken dinners. that's appx 1 dinner every 4 hours of gameplay since i started playing). I am probably the best video game player to ever address whatever soggy gamer's???????????????is viewing this with a review."", '', 'Let me just say, this is probably the best battle royal game on the market right now. Fortnite is ????????????ing stupid and the others well... they exist, but arent populated and why would they be when PuBG is available. In terms of battle royale games, PuBG is the best.', '', 'That being said, and despite my personal ability to wake up,??????????????????excelence, and then score chicken dinners all day long solo, if you LIKE the battle royal genre, screw you and I hope you lose sleep over the fact that you are the consumer that ruined gaming.', '', 'If you have not played battle royale I recomend you stay away form it. The game is about 20% skill, 80% luck. a GOOD gamer will look at those odds and instantly be turned off, because in a perfect world, the skilled player would win the majority of the time.', '', ""Granted, if you can win any gunfight ever with absolutely any gun given to you against any gun given to your opponent like I can, then you're GOING to get more chicken dinners, so there IS an element of skill in this game. However, despite me being the best gamer in the entire world I can't tell you how many times i've died simply because the house i went into didnt HAVE a gun and my opponent was able to arm himself first. That's just ONE example of the many times that luck takes over for skill in this game/genre."", '', ""So in my final words, DON'T support lazy game devs. play REAL video games, and not this crap.""]",Not Recommended,94,80
424,December 3,"[""New update not horrible but considering I've been playing since release nothing has improved significantly besides getting paired with someone who doesnt speak any english what so ever and being region locked, down right annoying.""]",Not Recommended,"1,151.80",43
425,December 3,"['This is totally a fraud game.', 'You are purchasing not only the game, but also:', '1. Malware', '2. Advertisement Software', '3. A door to VAC', '', 'Suggest not purchase this fraud item.']",Not Recommended,4.3,221
426,December 3,"['After almost 70 hours of playing this game, I believe I can have a good view on if this game should be in your wishlist or not.', '', ""In my opinion, it's not worth your time unless you like walking/running simulators. I took a long break from this game and while the game has had many changes since then (I used to play when there was only one map, and on a mid-tier pc) I still can't recommend this game. Everyone I know that used to play this game almost daily say they dislike the experience it gives, and after spending almost half an hour running/looting as fast as possible to keep up with the circle, then immediately dying an AKM while I was at full health with a brand new level 3 helmet and armor from a supply crate, I agree with them fully."", '', ""PUBG isn't brutal/punishing enough to appeal to the hardcore audience, and it's not for the casual player to sit down and enjoy. I'll give this game and its devs a point in that they skyrocketed the appeal for battle royales but there are much better games to choose from now that deserve your time and money."", '', 'The PUBG developers also seem intent on pushing lootboxes down the players throats after a 30$ purchase (Thank god this practice is almost out of the door) while also breaking a promise to not have microstransactions until they are officially out of EA. The excuse of ""Its needed to fund development"" fails on so many levels when this game was made with the budget of 25$ when it first came out and made its money back by the truck-loads. It was just a classic case of developers wanting to milk as much money as possible while their game is at its peak popularity, its as simple as that.', '', ""With boring gameplay, questionable dev decisions and a 30$ price tag, this game is absolutely not worth opening your wallet for, and I'd recommend putting the money towards another game thats waiting on your wishlist""]",Not Recommended,69.7,415
427,December 4,"['Love this game, in my opinion this is the best battle royale that has a realistic style which is why I primarily like this.']",Recommended,662.6,68
428,December 3,['Pretty triggery as well and the most deathpacito game ive ever seen :)'],Recommended,18,5
429,December 3,"['Product received for free', '', '---{Graphics}---', '??? You forget what reality is', '??? Good', '???Beautiful', '??? Bad', '??? Don?€?t look too long at it', '??? Paint.exe', '', '---{Gameplay}---', '??? Very good', '??? Good', '??? It?€?s just gameplay', '??? Mehh', '??? Starring at walls is better', '??? Just don?€?t', '', '---{Audio}---', '??? Eargasm', '??? Very good', '??? Good', '??? Not too bad', '??? Bad', '??? Earrape', '', '---{Audience}---', '??? Kids', '??? Teens', '??? Adults', '??? Nonces in their moms basement', '', '---{PC Requirements}---', '??? Check if you can run paint', '??? Potato', '??? Decent', '??? Rich Boiiii', '??? Fast', '??? Ask NASA if they have a spare computer', '', '---{Difficulity}---', '??? Just press ?€?A?€?', '??? Easy', '??? Significant brain usage', '??? Easy to learn / Hard to master', '??? Difficult', '??? Dark Souls', '', '---{Grind}---', '??? Nothing to grind', '??? Only if u care about leaderboards/ranks', '??? Isnt necessary to progress', '??? Average grind level', '??? Call in sick', '??? You?€?ll need a second live for grinding', '', '---{Story}---', '??? Story?', '??? Text or Audio floating around', '??? Average', '???Good', '??? Lovley', '??? It?€?ll replace your life', '', '---{Game Time}---', '??? Long enough for a cup of coffee', '??? Short', '??? Average', '???Long', '???To infinity and beyond', '', '---{Price}---', '??? It?€?s free!', '??? Worth the price', '??? Wait till the sale', '??? Not recommended', '??? You could also just burn your money', '', '---{Bugs}---', '??? Never heard of', '??? Minor bugs', '??? Can get annoying', '??? ARK: Survival Evolved', '???The game itself is a big terrarium for bugs']",Recommended,7.1,20
430,December 3,"['Very fun game at first and really intense and exciting experience if you have never played a battle royale game before. However, instead of pushing more content updates, the developers decide to focus on cosmetics and paid lootboxes so the gameplay gets boring after awhile with nothing much added aside from a few weapons and a map. Servers are really really bad, cheating problem was really big but they managed to tone that down a little. Game needs a progression system or something to keep people hooked. If you have friends to play with, there can be many funny and enjoyable moments but playing solo or even duos is pretty boring. CoD blackout or fortnite are probably better battle royale games than pubg.']",Recommended,361.2,32
431,December 3,"['Horrible, clunky game only made popular because of the sad Battle Royale hype..']",Not Recommended,181.6,77
432,December 3,['This game was and still is good'],Recommended,198.1,117
433,December 3,"['This game has had more than enough time to figure out how to be good. It is still broken in so many ways that listing them is near impossible. ""Fix PUBG"" has been a complete failure. On to ROE. Peace.']",Not Recommended,81.6,20
434,December 3,['Got killed by naked men trying to catch a chicken for dinner 7/10 IGN never caught the chicken for dinner.'],Recommended,48.8,37
435,December 3,['Very good game. Best played with friends. Unfortunate that cheating and bugs are so prevalent. It would be a great game otherwise.'],Recommended,807.8,14
436,December 3,['Pretty triggery as well and the most deathpacito game ive ever seen :)'],Recommended,18,5
437,December 3,['hi'],Recommended,630.1,3
438,December 3,"[""You should be a highly experienced player and have to invest hundreds of hours to learn the often strange mechanics, flaws (lags, desynchs) and bugs of the game. Otherwise it's no fun and you only killed all the time by players that are either very good or know the tricks of the game or both.""]",Not Recommended,241.4,65
439,December 3,"['This game is pretty unique in itself in terms of how the quality was/is,', '', ""Not many games today are created very good and get progressively worse. This is one of those rare games. During the alpha this game was lit as hell and was fun to play with the boys. Now with all these MTX additions and complete change of UI, trying to stuff buying keys down your throat; it sucks now. Oh and the game runs worse than it did since launch. I'm talking 40FPS on medium:"", '', 'i7-8th gen (quad core)', '16gb ddr4-2400', 'GTX 1050Ti (4GB)', 'SSD', 'Maxiumum power setting', '', ""Don't waste 36.99 on this, wait for it to go on sale lol.""]",Not Recommended,99.9,111
440,December 3,"['For a 2 year game, bad af. The de-sync is horrible, they keep putting new skins instead of really fixing their game. Reminds me of H1Z1 2.0 but less arcade.']",Not Recommended,676.8,368
441,December 3,['My Favorite Game <3'],Recommended,12.1,5
442,December 3,"['Stupid devs, stupid game, the worst anti-cheat. BORING AF.']",Not Recommended,172.8,39
443,December 3,"[""I loved this game. I built my PC to play this game. I convinced my friends to do the same. It looked like a ton of fun and it met all expectations for a good year. The large amount of downtime and goofy bugs created a perfect recipe for messing around with friends - and then suddenly an epic battle would come out of nowhere. The silent solitude of solo games immersed you in what felt like life-or-death situations where your opponent was just as terrified as you. In-game all chat added an extra dynamic for spontaneous exchanges with random people and kept the community vibrant. It was accessible to people who didn't grow up playing shooters and it challenged those who did. The maps are well made. Although there are hiccups, the game runs fine overall. All of this added up to a phenomenon which we may never see again."", '', ""If you're thinking of buying this game, you're too late. You missed out. The community is dead. You can't stack boats anymore. All-chat has been disabled for some reason. It's a death by 1000 papercuts. They're eliminating all the things which made the game unique to try to position the game as a serious FPS esport. I think that is a terrible idea. Anyone who is interested in that will go play CS:GO or something. Unless you have a big group of friends committed to this game, I no longer recommend it. I still occassionally play it, but the magic is gone.""]",Not Recommended,571.1,4
